# EnvCell.Position full census - ADR-0009 auditable artifact
# Generated: 2026-05-31T19:54:34.9601991-07:00
# acdat: C:\Users\darin\repos\ac-unreal\pipeline\dat-extract\bin\Release\net8.0-windows\acdat.exe
# DatDir: C:\Turbine\Asheron's Call

================================================================
LANDBLOCK 0x8602  (LbX=134, LbY=2)
----------------------------------------------------------------
  Landblock 0x8602 (LbX=134, LbY=2):
    HasObjects:     True
    Terrain[]:      81 entries (9x9=81 expected)
    Height[]:       81 entries (81 expected)
    LandblockInfo:  present (file 0x8602FFFE in CellDat)
      NumCells:     568   (= indoor EnvCells inside this landblock)
      Buildings:    0
      Objects:      0
      PackMask:     0x00000000

  Per-cell Frame.Origin (landblock-local) and composed world position:
  CellId                Frame.Origin(x,y,z)                   World(x,y,z) InFootprint?
  0x86020128   (  200.00,  -240.00,  -12.00)   (  25928.00,     144.00,  -12.00)   OUT
  0x86020129   (  200.00,  -240.00,  -12.00)   (  25928.00,     144.00,  -12.00)   OUT
  0x8602012A   (  200.00,  -250.00,  -12.00)   (  25928.00,     134.00,  -12.00)   OUT
  0x8602012B   (  210.00,  -240.00,  -12.00)   (  25938.00,     144.00,  -12.00)   OUT
  0x8602012C   (  110.00,  -160.00,   -6.00)   (  25838.00,     224.00,   -6.00)   OUT
  0x8602012D   (  110.00,  -160.00,   -6.00)   (  25838.00,     224.00,   -6.00)   OUT
  0x8602012E   (  110.00,  -160.00,   -6.00)   (  25838.00,     224.00,   -6.00)   OUT
  0x8602012F   (  110.00,  -170.00,   -6.00)   (  25838.00,     214.00,   -6.00)   OUT
  0x86020130   (  110.00,  -180.00,   -6.00)   (  25838.00,     204.00,   -6.00)   OUT
  0x86020131   (  110.00,  -180.00,   -6.00)   (  25838.00,     204.00,   -6.00)   OUT
  0x86020132   (  110.00,  -180.00,   -6.00)   (  25838.00,     204.00,   -6.00)   OUT
  0x86020133   (  120.00,  -150.00,   -6.00)   (  25848.00,     234.00,   -6.00)   OUT
  0x86020134   (  120.00,  -160.00,   -6.00)   (  25848.00,     224.00,   -6.00)   OUT
  0x86020135   (  120.00,  -160.00,   -6.00)   (  25848.00,     224.00,   -6.00)   OUT
  0x86020136   (  120.00,  -160.00,   -6.00)   (  25848.00,     224.00,   -6.00)   OUT
  0x86020137   (  120.00,  -160.00,   -6.00)   (  25848.00,     224.00,   -6.00)   OUT
  0x86020138   (  120.00,  -160.00,   -6.00)   (  25848.00,     224.00,   -6.00)   OUT
  0x86020139   (  120.00,  -170.00,   -6.00)   (  25848.00,     214.00,   -6.00)   OUT
  0x8602013A   (  120.00,  -180.00,   -6.00)   (  25848.00,     204.00,   -6.00)   OUT
  0x8602013B   (  130.00,  -130.00,   -6.00)   (  25858.00,     254.00,   -6.00)   OUT
  0x8602013C   (  130.00,  -140.00,   -6.00)   (  25858.00,     244.00,   -6.00)   OUT
  0x8602013D   (  130.00,  -150.00,   -6.00)   (  25858.00,     234.00,   -6.00)   OUT
  0x8602013E   (  130.00,  -160.00,   -6.00)   (  25858.00,     224.00,   -6.00)   OUT
  0x8602013F   (  130.00,  -160.00,   -6.00)   (  25858.00,     224.00,   -6.00)   OUT
  0x86020140   (  130.00,  -160.00,   -6.00)   (  25858.00,     224.00,   -6.00)   OUT
  0x86020141   (  130.00,  -180.00,   -6.00)   (  25858.00,     204.00,   -6.00)   OUT
  0x86020142   (  130.00,  -180.00,   -6.00)   (  25858.00,     204.00,   -6.00)   OUT
  0x86020143   (  130.00,  -180.00,   -6.00)   (  25858.00,     204.00,   -6.00)   OUT
  0x86020144   (  130.00,  -190.00,   -6.00)   (  25858.00,     194.00,   -6.00)   OUT
  0x86020145   (  130.00,  -190.00,   -6.00)   (  25858.00,     194.00,   -6.00)   OUT
  0x86020146   (  130.00,  -200.00,   -6.00)   (  25858.00,     184.00,   -6.00)   OUT
  0x86020147   (  140.00,  -130.00,   -6.00)   (  25868.00,     254.00,   -6.00)   OUT
  0x86020148   (  140.00,  -140.00,   -6.00)   (  25868.00,     244.00,   -6.00)   OUT
  0x86020149   (  140.00,  -140.00,   -6.00)   (  25868.00,     244.00,   -6.00)   OUT
  0x8602014A   (  140.00,  -140.00,   -6.00)   (  25868.00,     244.00,   -6.00)   OUT
  0x8602014B   (  140.00,  -140.00,   -6.00)   (  25868.00,     244.00,   -6.00)   OUT
  0x8602014C   (  140.00,  -140.00,   -6.00)   (  25868.00,     244.00,   -6.00)   OUT
  0x8602014D   (  140.00,  -150.00,   -6.00)   (  25868.00,     234.00,   -6.00)   OUT
  0x8602014E   (  140.00,  -190.00,   -6.00)   (  25868.00,     194.00,   -6.00)   OUT
  0x8602014F   (  140.00,  -200.00,   -6.00)   (  25868.00,     184.00,   -6.00)   OUT
  0x86020150   (  140.00,  -210.00,   -6.00)   (  25868.00,     174.00,   -6.00)   OUT
  0x86020151   (  150.00,  -140.00,   -6.00)   (  25878.00,     244.00,   -6.00)   OUT
  0x86020152   (  150.00,  -150.00,   -6.00)   (  25878.00,     234.00,   -6.00)   OUT
  0x86020153   (  150.00,  -150.00,   -6.00)   (  25878.00,     234.00,   -6.00)   OUT
  0x86020154   (  150.00,  -150.00,   -6.00)   (  25878.00,     234.00,   -6.00)   OUT
  0x86020155   (  150.00,  -150.00,   -6.00)   (  25878.00,     234.00,   -6.00)   OUT
  0x86020156   (  150.00,  -160.00,   -6.00)   (  25878.00,     224.00,   -6.00)   OUT
  0x86020157   (  150.00,  -160.00,   -6.00)   (  25878.00,     224.00,   -6.00)   OUT
  0x86020158   (  150.00,  -160.00,   -6.00)   (  25878.00,     224.00,   -6.00)   OUT
  0x86020159   (  150.00,  -160.00,   -6.00)   (  25878.00,     224.00,   -6.00)   OUT
  0x8602015A   (  150.00,  -160.00,   -6.00)   (  25878.00,     224.00,   -6.00)   OUT
  0x8602015B   (  150.00,  -160.00,   -6.00)   (  25878.00,     224.00,   -6.00)   OUT
  0x8602015C   (  150.00,  -160.00,   -6.00)   (  25878.00,     224.00,   -6.00)   OUT
  0x8602015D   (  150.00,  -160.00,   -6.00)   (  25878.00,     224.00,   -6.00)   OUT
  0x8602015E   (  150.00,  -160.00,   -6.00)   (  25878.00,     224.00,   -6.00)   OUT
  0x8602015F   (  150.00,  -160.00,   -6.00)   (  25878.00,     224.00,   -6.00)   OUT
  0x86020160   (  150.00,  -200.00,   -6.00)   (  25878.00,     184.00,   -6.00)   OUT
  0x86020161   (  150.00,  -210.00,   -6.00)   (  25878.00,     174.00,   -6.00)   OUT
  0x86020162   (  150.00,  -210.00,   -6.00)   (  25878.00,     174.00,   -6.00)   OUT
  0x86020163   (  150.00,  -230.00,   -6.00)   (  25878.00,     154.00,   -6.00)   OUT
  0x86020164   (  150.00,  -240.00,   -6.00)   (  25878.00,     144.00,   -6.00)   OUT
  0x86020165   (  160.00,  -140.00,   -6.00)   (  25888.00,     244.00,   -6.00)   OUT
  0x86020166   (  160.00,  -140.00,   -6.00)   (  25888.00,     244.00,   -6.00)   OUT
  0x86020167   (  160.00,  -140.00,   -6.00)   (  25888.00,     244.00,   -6.00)   OUT
  0x86020168   (  160.00,  -140.00,   -6.00)   (  25888.00,     244.00,   -6.00)   OUT
  0x86020169   (  160.00,  -150.00,   -6.00)   (  25888.00,     234.00,   -6.00)   OUT
  0x8602016A   (  160.00,  -160.00,   -6.00)   (  25888.00,     224.00,   -6.00)   OUT
  0x8602016B   (  160.00,  -160.00,   -6.00)   (  25888.00,     224.00,   -6.00)   OUT
  0x8602016C   (  160.00,  -160.00,   -6.00)   (  25888.00,     224.00,   -6.00)   OUT
  0x8602016D   (  160.00,  -160.00,   -6.00)   (  25888.00,     224.00,   -6.00)   OUT
  0x8602016E   (  160.00,  -160.00,   -6.00)   (  25888.00,     224.00,   -6.00)   OUT
  0x8602016F   (  160.00,  -160.00,   -6.00)   (  25888.00,     224.00,   -6.00)   OUT
  0x86020170   (  160.00,  -190.00,   -6.00)   (  25888.00,     194.00,   -6.00)   OUT
  0x86020171   (  160.00,  -200.00,   -6.00)   (  25888.00,     184.00,   -6.00)   OUT
  0x86020172   (  160.00,  -200.00,   -6.00)   (  25888.00,     184.00,   -6.00)   OUT
  0x86020173   (  160.00,  -200.00,   -6.00)   (  25888.00,     184.00,   -6.00)   OUT
  0x86020174   (  160.00,  -200.00,   -6.00)   (  25888.00,     184.00,   -6.00)   OUT
  0x86020175   (  160.00,  -210.00,   -6.00)   (  25888.00,     174.00,   -6.00)   OUT
  0x86020176   (  160.00,  -210.00,   -6.00)   (  25888.00,     174.00,   -6.00)   OUT
  0x86020177   (  160.00,  -210.00,   -6.00)   (  25888.00,     174.00,   -6.00)   OUT
  0x86020178   (  160.00,  -230.00,   -6.00)   (  25888.00,     154.00,   -6.00)   OUT
  0x86020179   (  160.00,  -240.00,   -6.00)   (  25888.00,     144.00,   -6.00)   OUT
  0x8602017A   (  160.00,  -250.00,   -6.00)   (  25888.00,     134.00,   -6.00)   OUT
  0x8602017B   (  170.00,  -140.00,   -6.00)   (  25898.00,     244.00,   -6.00)   OUT
  0x8602017C   (  170.00,  -140.00,   -6.00)   (  25898.00,     244.00,   -6.00)   OUT
  0x8602017D   (  170.00,  -140.00,   -6.00)   (  25898.00,     244.00,   -6.00)   OUT
  0x8602017E   (  170.00,  -140.00,   -6.00)   (  25898.00,     244.00,   -6.00)   OUT
  0x8602017F   (  170.00,  -140.00,   -6.00)   (  25898.00,     244.00,   -6.00)   OUT
  0x86020180   (  170.00,  -140.00,   -6.00)   (  25898.00,     244.00,   -6.00)   OUT
  0x86020181   (  170.00,  -140.00,   -6.00)   (  25898.00,     244.00,   -6.00)   OUT
  0x86020182   (  170.00,  -140.00,   -6.00)   (  25898.00,     244.00,   -6.00)   OUT
  0x86020183   (  170.00,  -140.00,   -6.00)   (  25898.00,     244.00,   -6.00)   OUT
  0x86020184   (  170.00,  -140.00,   -6.00)   (  25898.00,     244.00,   -6.00)   OUT
  0x86020185   (  170.00,  -150.00,   -6.00)   (  25898.00,     234.00,   -6.00)   OUT
  0x86020186   (  170.00,  -150.00,   -6.00)   (  25898.00,     234.00,   -6.00)   OUT
  0x86020187   (  170.00,  -150.00,   -6.00)   (  25898.00,     234.00,   -6.00)   OUT
  0x86020188   (  170.00,  -150.00,   -6.00)   (  25898.00,     234.00,   -6.00)   OUT
  0x86020189   (  170.00,  -150.00,   -6.00)   (  25898.00,     234.00,   -6.00)   OUT
  0x8602018A   (  170.00,  -150.00,   -6.00)   (  25898.00,     234.00,   -6.00)   OUT
  0x8602018B   (  170.00,  -160.00,   -6.00)   (  25898.00,     224.00,   -6.00)   OUT
  0x8602018C   (  170.00,  -160.00,   -6.00)   (  25898.00,     224.00,   -6.00)   OUT
  0x8602018D   (  170.00,  -160.00,   -6.00)   (  25898.00,     224.00,   -6.00)   OUT
  0x8602018E   (  170.00,  -160.00,   -6.00)   (  25898.00,     224.00,   -6.00)   OUT
  0x8602018F   (  170.00,  -160.00,   -6.00)   (  25898.00,     224.00,   -6.00)   OUT
  0x86020190   (  170.00,  -160.00,   -6.00)   (  25898.00,     224.00,   -6.00)   OUT
  0x86020191   (  170.00,  -160.00,   -6.00)   (  25898.00,     224.00,   -6.00)   OUT
  0x86020192   (  170.00,  -160.00,   -6.00)   (  25898.00,     224.00,   -6.00)   OUT
  0x86020193   (  170.00,  -160.00,   -6.00)   (  25898.00,     224.00,   -6.00)   OUT
  0x86020194   (  170.00,  -160.00,   -6.00)   (  25898.00,     224.00,   -6.00)   OUT
  0x86020195   (  170.00,  -200.00,   -6.00)   (  25898.00,     184.00,   -6.00)   OUT
  0x86020196   (  170.00,  -200.00,   -6.00)   (  25898.00,     184.00,   -6.00)   OUT
  0x86020197   (  170.00,  -200.00,   -6.00)   (  25898.00,     184.00,   -6.00)   OUT
  0x86020198   (  170.00,  -210.00,   -6.00)   (  25898.00,     174.00,   -6.00)   OUT
  0x86020199   (  170.00,  -210.00,   -6.00)   (  25898.00,     174.00,   -6.00)   OUT
  0x8602019A   (  170.00,  -210.00,   -6.00)   (  25898.00,     174.00,   -6.00)   OUT
  0x8602019B   (  170.00,  -240.00,   -6.00)   (  25898.00,     144.00,   -6.00)   OUT
  0x8602019C   (  170.00,  -250.00,   -6.00)   (  25898.00,     134.00,   -6.00)   OUT
  0x8602019D   (  180.00,  -110.00,   -6.00)   (  25908.00,     274.00,   -6.00)   OUT
  0x8602019E   (  180.00,  -120.00,   -6.00)   (  25908.00,     264.00,   -6.00)   OUT
  0x8602019F   (  180.00,  -200.00,   -6.00)   (  25908.00,     184.00,   -6.00)   OUT
  0x860201A0   (  180.00,  -210.00,   -6.00)   (  25908.00,     174.00,   -6.00)   OUT
  0x860201A1   (  180.00,  -210.00,   -6.00)   (  25908.00,     174.00,   -6.00)   OUT
  0x860201A2   (  180.00,  -220.00,   -6.00)   (  25908.00,     164.00,   -6.00)   OUT
  0x860201A3   (  190.00,  -200.00,   -6.00)   (  25918.00,     184.00,   -6.00)   OUT
  0x860201A4   (  190.00,  -210.00,   -6.00)   (  25918.00,     174.00,   -6.00)   OUT
  0x860201A5   (  190.00,  -210.00,   -6.00)   (  25918.00,     174.00,   -6.00)   OUT
  0x860201A6   (  190.00,  -210.00,   -6.00)   (  25918.00,     174.00,   -6.00)   OUT
  0x860201A7   (  190.00,  -220.00,   -6.00)   (  25918.00,     164.00,   -6.00)   OUT
  0x860201A8   (  200.00,  -200.00,   -6.00)   (  25928.00,     184.00,   -6.00)   OUT
  0x860201A9   (  200.00,  -210.00,   -6.00)   (  25928.00,     174.00,   -6.00)   OUT
  0x860201AA   (  200.00,  -220.00,   -6.00)   (  25928.00,     164.00,   -6.00)   OUT
  0x860201AB   (    0.00,   -60.00,    0.00)   (  25728.00,     324.00,    0.00)   OUT
  0x860201AC   (    0.00,   -70.00,    0.00)   (  25728.00,     314.00,    0.00)   OUT
  0x860201AD   (   10.00,   -30.00,    0.00)   (  25738.00,     354.00,    0.00)   OUT
  0x860201AE   (   10.00,   -70.00,    0.00)   (  25738.00,     314.00,    0.00)   OUT
  0x860201AF   (   10.00,   -80.00,    0.00)   (  25738.00,     304.00,    0.00)   OUT
  0x860201B0   (   20.00,   -20.00,    0.00)   (  25748.00,     364.00,    0.00)   OUT
  0x860201B1   (   20.00,   -30.00,    0.00)   (  25748.00,     354.00,    0.00)   OUT
  0x860201B2   (   20.00,   -30.00,    0.00)   (  25748.00,     354.00,    0.00)   OUT
  0x860201B3   (   20.00,   -30.00,    0.00)   (  25748.00,     354.00,    0.00)   OUT
  0x860201B4   (   20.00,   -30.00,    0.00)   (  25748.00,     354.00,    0.00)   OUT
  0x860201B5   (   20.00,   -30.00,    0.00)   (  25748.00,     354.00,    0.00)   OUT
  0x860201B6   (   20.00,   -40.00,    0.00)   (  25748.00,     344.00,    0.00)   OUT
  0x860201B7   (   20.00,   -70.00,    0.00)   (  25748.00,     314.00,    0.00)   OUT
  0x860201B8   (   20.00,   -70.00,    0.00)   (  25748.00,     314.00,    0.00)   OUT
  0x860201B9   (   20.00,   -70.00,    0.00)   (  25748.00,     314.00,    0.00)   OUT
  0x860201BA   (   20.00,   -80.00,    0.00)   (  25748.00,     304.00,    0.00)   OUT
  0x860201BB   (   20.00,   -80.00,    0.00)   (  25748.00,     304.00,    0.00)   OUT
  0x860201BC   (   20.00,   -80.00,    0.00)   (  25748.00,     304.00,    0.00)   OUT
  0x860201BD   (   20.00,  -110.00,    0.00)   (  25748.00,     274.00,    0.00)   OUT
  0x860201BE   (   20.00,  -110.00,    0.00)   (  25748.00,     274.00,    0.00)   OUT
  0x860201BF   (   20.00,  -110.00,    0.00)   (  25748.00,     274.00,    0.00)   OUT
  0x860201C0   (   20.00,  -110.00,    0.00)   (  25748.00,     274.00,    0.00)   OUT
  0x860201C1   (   20.00,  -110.00,    0.00)   (  25748.00,     274.00,    0.00)   OUT
  0x860201C2   (   20.00,  -110.00,    0.00)   (  25748.00,     274.00,    0.00)   OUT
  0x860201C3   (   20.00,  -110.00,    0.00)   (  25748.00,     274.00,    0.00)   OUT
  0x860201C4   (   20.00,  -110.00,    0.00)   (  25748.00,     274.00,    0.00)   OUT
  0x860201C5   (   20.00,  -110.00,    0.00)   (  25748.00,     274.00,    0.00)   OUT
  0x860201C6   (   20.00,  -110.00,    0.00)   (  25748.00,     274.00,    0.00)   OUT
  0x860201C7   (   20.00,  -120.00,    0.00)   (  25748.00,     264.00,    0.00)   OUT
  0x860201C8   (   20.00,  -120.00,    0.00)   (  25748.00,     264.00,    0.00)   OUT
  0x860201C9   (   20.00,  -120.00,    0.00)   (  25748.00,     264.00,    0.00)   OUT
  0x860201CA   (   20.00,  -120.00,    0.00)   (  25748.00,     264.00,    0.00)   OUT
  0x860201CB   (   20.00,  -130.00,    0.00)   (  25748.00,     254.00,    0.00)   OUT
  0x860201CC   (   20.00,  -130.00,    0.00)   (  25748.00,     254.00,    0.00)   OUT
  0x860201CD   (   20.00,  -130.00,    0.00)   (  25748.00,     254.00,    0.00)   OUT
  0x860201CE   (   20.00,  -130.00,    0.00)   (  25748.00,     254.00,    0.00)   OUT
  0x860201CF   (   20.00,  -140.00,    0.00)   (  25748.00,     244.00,    0.00)   OUT
  0x860201D0   (   20.00,  -140.00,    0.00)   (  25748.00,     244.00,    0.00)   OUT
  0x860201D1   (   20.00,  -140.00,    0.00)   (  25748.00,     244.00,    0.00)   OUT
  0x860201D2   (   20.00,  -140.00,    0.00)   (  25748.00,     244.00,    0.00)   OUT
  0x860201D3   (   20.00,  -140.00,    0.00)   (  25748.00,     244.00,    0.00)   OUT
  0x860201D4   (   20.00,  -140.00,    0.00)   (  25748.00,     244.00,    0.00)   OUT
  0x860201D5   (   20.00,  -140.00,    0.00)   (  25748.00,     244.00,    0.00)   OUT
  0x860201D6   (   20.00,  -140.00,    0.00)   (  25748.00,     244.00,    0.00)   OUT
  0x860201D7   (   20.00,  -140.00,    0.00)   (  25748.00,     244.00,    0.00)   OUT
  0x860201D8   (   20.00,  -140.00,    0.00)   (  25748.00,     244.00,    0.00)   OUT
  0x860201D9   (   30.00,   -20.00,    0.00)   (  25758.00,     364.00,    0.00)   OUT
  0x860201DA   (   30.00,   -20.00,    0.00)   (  25758.00,     364.00,    0.00)   OUT
  0x860201DB   (   30.00,   -20.00,    0.00)   (  25758.00,     364.00,    0.00)   OUT
  0x860201DC   (   30.00,   -30.00,    0.00)   (  25758.00,     354.00,    0.00)   OUT
  0x860201DD   (   30.00,   -30.00,    0.00)   (  25758.00,     354.00,    0.00)   OUT
  0x860201DE   (   30.00,   -30.00,    0.00)   (  25758.00,     354.00,    0.00)   OUT
  0x860201DF   (   30.00,   -70.00,    0.00)   (  25758.00,     314.00,    0.00)   OUT
  0x860201E0   (   30.00,   -90.00,    0.00)   (  25758.00,     294.00,    0.00)   OUT
  0x860201E1   (   30.00,  -110.00,    0.00)   (  25758.00,     274.00,    0.00)   OUT
  0x860201E2   (   30.00,  -110.00,    0.00)   (  25758.00,     274.00,    0.00)   OUT
  0x860201E3   (   30.00,  -110.00,    0.00)   (  25758.00,     274.00,    0.00)   OUT
  0x860201E4   (   30.00,  -110.00,    0.00)   (  25758.00,     274.00,    0.00)   OUT
  0x860201E5   (   30.00,  -110.00,    0.00)   (  25758.00,     274.00,    0.00)   OUT
  0x860201E6   (   30.00,  -110.00,    0.00)   (  25758.00,     274.00,    0.00)   OUT
  0x860201E7   (   30.00,  -120.00,    0.00)   (  25758.00,     264.00,    0.00)   OUT
  0x860201E8   (   30.00,  -130.00,    0.00)   (  25758.00,     254.00,    0.00)   OUT
  0x860201E9   (   30.00,  -140.00,    0.00)   (  25758.00,     244.00,    0.00)   OUT
  0x860201EA   (   30.00,  -140.00,    0.00)   (  25758.00,     244.00,    0.00)   OUT
  0x860201EB   (   30.00,  -140.00,    0.00)   (  25758.00,     244.00,    0.00)   OUT
  0x860201EC   (   30.00,  -140.00,    0.00)   (  25758.00,     244.00,    0.00)   OUT
  0x860201ED   (   30.00,  -140.00,    0.00)   (  25758.00,     244.00,    0.00)   OUT
  0x860201EE   (   30.00,  -140.00,    0.00)   (  25758.00,     244.00,    0.00)   OUT
  0x860201EF   (   40.00,   -20.00,    0.00)   (  25768.00,     364.00,    0.00)   OUT
  0x860201F0   (   40.00,   -20.00,    0.00)   (  25768.00,     364.00,    0.00)   OUT
  0x860201F1   (   40.00,   -20.00,    0.00)   (  25768.00,     364.00,    0.00)   OUT
  0x860201F2   (   40.00,   -20.00,    0.00)   (  25768.00,     364.00,    0.00)   OUT
  0x860201F3   (   40.00,   -20.00,    0.00)   (  25768.00,     364.00,    0.00)   OUT
  0x860201F4   (   40.00,   -70.00,    0.00)   (  25768.00,     314.00,    0.00)   OUT
  0x860201F5   (   40.00,   -80.00,    0.00)   (  25768.00,     304.00,    0.00)   OUT
  0x860201F6   (   40.00,   -90.00,    0.00)   (  25768.00,     294.00,    0.00)   OUT
  0x860201F7   (   40.00,  -100.00,    0.00)   (  25768.00,     284.00,    0.00)   OUT
  0x860201F8   (   40.00,  -110.00,    0.00)   (  25768.00,     274.00,    0.00)   OUT
  0x860201F9   (   40.00,  -110.00,    0.00)   (  25768.00,     274.00,    0.00)   OUT
  0x860201FA   (   40.00,  -110.00,    0.00)   (  25768.00,     274.00,    0.00)   OUT
  0x860201FB   (   40.00,  -110.00,    0.00)   (  25768.00,     274.00,    0.00)   OUT
  0x860201FC   (   40.00,  -120.00,    0.00)   (  25768.00,     264.00,    0.00)   OUT
  0x860201FD   (   40.00,  -130.00,    0.00)   (  25768.00,     254.00,    0.00)   OUT
  0x860201FE   (   40.00,  -140.00,    0.00)   (  25768.00,     244.00,    0.00)   OUT
  0x860201FF   (   40.00,  -140.00,    0.00)   (  25768.00,     244.00,    0.00)   OUT
  0x86020200   (   40.00,  -140.00,    0.00)   (  25768.00,     244.00,    0.00)   OUT
  0x86020201   (   40.00,  -140.00,    0.00)   (  25768.00,     244.00,    0.00)   OUT
  0x86020202   (   40.00,  -140.00,    0.00)   (  25768.00,     244.00,    0.00)   OUT
  0x86020203   (   40.00,  -140.00,    0.00)   (  25768.00,     244.00,    0.00)   OUT
  0x86020204   (   50.00,   -10.00,    0.00)   (  25778.00,     374.00,    0.00)   OUT
  0x86020205   (   50.00,   -10.00,    0.00)   (  25778.00,     374.00,    0.00)   OUT
  0x86020206   (   50.00,   -10.00,    0.00)   (  25778.00,     374.00,    0.00)   OUT
  0x86020207   (   50.00,   -10.00,    0.00)   (  25778.00,     374.00,    0.00)   OUT
  0x86020208   (   50.00,   -10.00,    0.00)   (  25778.00,     374.00,    0.00)   OUT
  0x86020209   (   50.00,   -10.00,    0.00)   (  25778.00,     374.00,    0.00)   OUT
  0x8602020A   (   50.00,   -10.00,    0.00)   (  25778.00,     374.00,    0.00)   OUT
  0x8602020B   (   50.00,   -10.00,    0.00)   (  25778.00,     374.00,    0.00)   OUT
  0x8602020C   (   50.00,   -10.00,    0.00)   (  25778.00,     374.00,    0.00)   OUT
  0x8602020D   (   50.00,   -10.00,    0.00)   (  25778.00,     374.00,    0.00)   OUT
